srcaddr,dstaddr,srcport,dstport,protocol,packets,bytes,start,end,action,tcp_flags,pkt_srcaddr,pkt_dstaddr,region,flow_direction,traffic_path,interface_id,log_status
31.56.47.150,172.31.4.224,24928,22,6,1,52,1767791498,1767791527,ACCEPT,2,31.56.47.150,172.31.4.224,ap-south-1,ingress,-,eni-05406f7ef668f094a,OK
3.6.43.90,172.31.4.224,123,50484,17,1,76,1767791498,1767791527,ACCEPT,0,3.6.43.90,172.31.4.224,ap-south-1,ingress,-,eni-05406f7ef668f094a,OK
45.87.173.180,172.31.4.224,53767,22,6,1,52,1767791498,1767791527,ACCEPT,2,45.87.173.180,172.31.4.224,ap-south-1,ingress,-,eni-05406f7ef668f094a,OK
172.31.4.224,31.57.154.210,22,10797,6,6,312,1767791498,1767791527,ACCEPT,18,172.31.4.224,31.57.154.210,ap-south-1,egress,8,eni-05406f7ef668f094a,OK
172.31.4.224,3.6.43.90,50484,123,17,1,76,1767791498,1767791527,ACCEPT,0,172.31.4.224,3.6.43.90,ap-south-1,egress,8,eni-05406f7ef668f094a,OK
45.155.124.219,172.31.4.224,19871,22,6,1,52,1767791498,1767791527,ACCEPT,2,45.155.124.219,172.31.4.224,ap-south-1,ingress,-,eni-05406f7ef668f094a,OK
172.31.4.224,87.248.157.222,22,40572,6,1,52,1767791498,1767791527,ACCEPT,18,172.31.4.224,87.248.157.222,ap-south-1,egress,8,eni-05406f7ef668f094a,OK
172.31.4.224,89.47.113.157,22,43078,6,2,104,1767791498,1767791527,ACCEPT,18,172.31.4.224,89.47.113.157,ap-south-1,egress,8,eni-05406f7ef668f094a,OK
172.31.4.224,45.155.19.181,22,33840,6,1,52,1767791498,1767791527,ACCEPT,18,172.31.4.224,45.155.19.181,ap-south-1,egress,8,eni-05406f7ef668f094a,OK
31.57.156.155,172.31.4.224,31150,22,6,1,52,1767791498,1767791527,ACCEPT,2,31.57.156.155,172.31.4.224,ap-south-1,ingress,-,eni-05406f7ef668f094a,OK
193.164.4.174,172.31.4.224,50182,22,6,1,52,1767791498,1767791527,ACCEPT,2,193.164.4.174,172.31.4.224,ap-south-1,ingress,-,eni-05406f7ef668f094a,OK
